MAJ   , Code Postal , Latitude , Longitude , Eloignement 
L ABERGEMENT CLEMENCIAT ,01400,46.15,4.916667,1.46
L ABERGEMENT DE VAREY,01640,46,5.416667,1
AMAREINS   ,01090,46.083333,4.8,1.85
AMBERIEU EN BUGEY ,01500,45.95,5.35,0.8
AMBERIEUX EN DOMBES ,01330,46,4.9,1.72
AMBLEON   ,01300,45.75,5.6,2.01
AMBRONAY   ,01500,46,5.35,1.34
AMBUTRIX   ,01500,45.933333,5.333333,0.9
ANDERT ET CONDON ,01300,45.8,5.65,1.71
ANGLEFORT   ,01350,45.916667,5.808333,-1
APREMONT   ,01100,46.208333,5.658333,1.46
ARANC   ,01110,46,5.5,1.01
ARANDAS   ,01230,45.9,5.483333,1.11
ARBENT   ,01100,46.3,5.683333,1.39
ARBIGNIEU   ,01300,45.733333,5.65,2.11
ARBIGNY   ,01190,46.466667,4.966667,2.31
ARGIS   ,01230,45.933333,5.483333,0.9
ARMIX   ,01510,45.85,5.583333,1.41
ARS SUR FORMANS ,01480,45.983333,4.816667,1.8
ARTEMARE   ,01510,45.866667,5.7,1.31
ASNIERES SUR SAONE ,01570,46.383333,4.883333,1.81
ATTIGNAT   ,01340,46.283333,5.166667,1.21
BAGE LA VILLE ,01380,46.316667,4.95,1.41
BAGE LE CHATEL ,01380,46.3,4.933333,1.4
BALAN   ,01360,45.833333,5.1,1.51
BANEINS   ,01990,46.116667,4.9,1.51
BEAUPONT   ,01270,46.4,5.266667,1.91
BELLIGNAT   ,01810,46.25,5.616667,1.5
BELIGNEUX   ,01360,45.866667,5.116667,1.31
BELLEGARDE SUR VALSERINE ,01200,46.1,5.816667,1.61
BELLEY   ,01300,45.766667,5.683333,1.91
BELLEYDOUX   ,01130,46.25,5.766667,1.72
BENONCES   ,01470,45.833333,5.483333,1.7
BENY   ,01370,46.333333,5.283333,1.51
BEON   ,01350,45.833333,5.75,1.51
BEREZIAT   ,01340,46.366667,5.05,1.71
BETTANT   ,01500,45.933333,5.366667,1.21
BEY   ,01290,46.216667,4.85,1.68
BEYNOST   ,01700,45.833333,5,1.51
BILLIAT   ,01200,46.066667,5.783333,1.5
BIRIEUX   ,01330,45.95,5.033333,1.06
BIZIAT   ,01290,46.216667,4.933333,1.51
BLYES   ,01150,45.85,5.25,1.41
BOHAS   ,01250,46.166667,5.4,0.52
LA BOISSE  ,01120,45.85,5.033333,1.41
BOISSEY   ,01190,46.383333,5,1.81
BOLOZON   ,01450,46.2,5.483333,1.91
BOULIGNEUX   ,01330,46.016667,5,1.17
BOURG EN BRESSE ,01000,46.2,5.216667,1
BOURG SAINT CHRISTOPHE ,01800,45.883333,5.166667,1.21
BOUVENT   ,01100,46.283333,5.633333,1.21
BOYEUX SAINT JEROME ,01640,46.033333,5.466667,1.27
BOZ   ,01190,46.4,4.9,1.91
BREGNIER CORDON  ,01300,45.65,5.616667,2.61
BRENAZ   ,01260,45.95,5.716667,1.27
BRENOD   ,01110,46.066667,5.6,1.36
BRESSOLLES   ,01360,45.866667,5.1,1.31
BRIORD   ,01470,45.783333,5.466667,1.81
BUELLAS   ,01310,46.2,5.133333,0.73
LA BURBANCHE  ,01510,45.85,5.566667,1.41
CEIGNES   ,01430,46.116667,5.5,1.08
CERDON   ,01450,46.083333,5.466667,0.87
CERTINES   ,01240,46.133333,5.266667,1.97
CESSEINS   ,01090,46.066667,4.833333,1.85
CESSY   ,01170,46.316667,6.066667,2.46
CEYZERIAT   ,01250,46.166667,5.316667,1.15
CEYZERIEU   ,01350,45.833333,5.733333,1.51
CHALAMONT   ,01320,46,5.166667,0.65
CHALEINS   ,01480,46.033333,4.8,1.85
CHALEY   ,01230,45.95,5.533333,1.58
CHALLES   ,01450,46.133333,5.466667,0.42
CHALLEX   ,01630,46.183333,5.966667,2.12
CHAMPAGNE EN VALROMEY ,01260,45.9,5.683333,1.17
CHAMPDOR   ,01110,46.016667,5.6,0.87
CHAMPFROMIER   ,01410,46.2,5.816667,1.61
CHANAY   ,01420,46,5.783333,1.5
CHANEINS   ,01990,46.1,4.85,1.68
CHANOZ CHATENAY  ,01400,46.183333,5.033333,1.06
LA CHAPELLE DU CHATELARD,01240,46.066667,5.033333,1.38
CHARANCIN   ,01260,45.933333,5.633333,1.09
CHARIX   ,01130,46.183333,5.683333,1.16
CHARNOZ SUR AIN ,01800,45.866667,5.216667,1.31
CHATEAU GAILLARD  ,01500,45.966667,5.3,1.1
CHATENAY   ,01320,46.033333,5.2,0.65
CHATILLON EN MICHAILLE ,01200,46.133333,5.783333,1.5
CHATILLON LA PALUD ,01320,45.966667,5.25,1.39
CHATILLON SUR CHALARONNE ,01400,46.116667,4.966667,1.29
CHAVANNES SUR REYSSOUZE ,01190,46.433333,5,2.11
CHAVANNES SUR SURAN ,01250,46.266667,5.416667,1.14
CHAVEYRIAT   ,01660,46.183333,5.066667,0.98
CHAVORNAY   ,01510,45.883333,5.7,1.31
CHAZEY BONS  ,01300,45.8,5.683333,1.71
CHAZEY SUR AIN ,01150,45.9,5.25,1.36
CHEIGNIEU LA BALME ,01510,45.833333,5.616667,1.51
CHEVILLARD   ,01430,46.116667,5.583333,1.08
CHEVROUX   ,01190,46.383333,4.95,1.81
CHEVRY   ,01170,46.283333,6.033333,2.35
CHEZERY FORENS  ,01200,46.216667,5.883333,2.48
CIVRIEUX   ,01390,45.916667,4.883333,1.57
CIZE   ,01250,46.2,5.433333,0.72
CLEYZIEU   ,01230,45.9,5.433333,1.11
