MAJ   , Code Postal , Latitude , Longitude , Eloignement
L ABERGEMENT CLEMENCIAT ,01400,46.15,4.916667,1.46
L ABERGEMENT DE VAREY,01640,46,5.416667,1
AMAREINS   ,01090,46.083333,4.8,1.85
AMBERIEU EN BUGEY ,01500,45.95,5.35,0.8
AMBERIEUX EN DOMBES ,01330,46,4.9,1.72
AMBLEON   ,01300,45.75,5.6,2.01
AMBRONAY   ,01500,46,5.35,1.34
AMBUTRIX   ,01500,45.933333,5.333333,0.9
ANDERT ET CONDON ,01300,45.8,5.65,1.71
ANGLEFORT   ,01350,45.916667,5.808333,-1
APREMONT   ,01100,46.208333,5.658333,1.46
ARANC   ,01110,46,5.5,1.01
ARANDAS   ,01230,45.9,5.483333,1.11
ARBENT   ,01100,46.3,5.683333,1.39
ARBIGNIEU   ,01300,45.733333,5.65,2.11
